source_id,dataset,config,split,revision_observed,window_offset,row_idx,stratum,stratum_population,length_bin,score,text_chars,normalized_sha256,decision,reason,notes
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,21775,21778,score_q1,250,2,2.515625,1394,c1bd02e6676c1b4dff9bdf29dc51d1b4b9265c56e8650b8092600a5cc5468865,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,21775,21786,score_q3,250,3,2.953125,3203,17f568a8d6f2b9392ab2e0ed79f09275dfb9a000f0b8a34760fb45393e947125,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,21775,21798,score_q2,250,5,2.6875,10727,425ee3cd599255aaedfbda5bef5b893a070589c41fd5b5e0002765d961a58091,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,21775,21801,score_q4,250,5,3.6875,9827,c7508243dbbd3d42bc2d08acd4d47b4fba691b777fba1de02677bc6f3f4c5ea7,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,21775,21804,score_q2,250,1,2.796875,504,841db70267118387b962ac44eb3978c1a1f34d14e91973bfe71d93ec42a3f5f1,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,21775,21812,score_q2,250,2,2.84375,1227,ef1e91183a0b065223ae50e0f039cfd018913c6d42d2216cd67c3041f3277b53,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,21775,21824,score_q3,250,5,3.0,12892,28317862257910f68c3d554672afe0d66bf9c6144913b17c06f864278434197e,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,812328,812338,score_q2,250,3,2.71875,2129,452ee2c2594e36ac8026244d3ec2415b6affa7aa38b603725c840f0997566c3d,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,812328,812351,score_q1,250,5,2.53125,7170,68ae6cc1d559fe62ac3a39abbf311ee200ece7f8086971685bdfa00a49921d27,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,812328,812361,score_q4,250,2,3.796875,2292,e74f6f567078bfc1e104fba306c2a5fed7cd4eecebed2199491d577849844269,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,812328,812366,score_q1,250,3,2.515625,2553,615fef8e5be36819bfe6e43e122b78fad292c241217ee2a9c4bc94252e8e8b9e,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,857185,857189,score_q4,250,1,3.3125,695,02df62c1cb2a66273b1ac0d0604eafabc34d03fdd27d134ad1dde62f98f739cf,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,857185,857190,score_q4,250,3,3.8125,3559,4d59750543acad290e97300b41547ee25448133153576607e65601ed320b4c45,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,857185,857214,score_q2,250,4,2.890625,5698,cd0b0666109c17a11456d141052081f6ae1047c8236de242e478d1d72e455013,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,857185,857215,score_q1,250,4,2.515625,5334,35dd9e13ef5e2d6c3648590a42a09bfeb87f99a026651bad117d6f7f21ff8307,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,857185,857222,score_q2,250,4,2.890625,4334,1d412fa21b99cb2883c3ade6ea1f28e9ac8bdb9c7d7e05441e83934957912923,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,857185,857232,score_q3,250,1,2.96875,711,7b1ceea48d252c0eb9c8173f9af898c9e5cb17b965fd4724cc80bb8789be9347,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,857185,857233,score_q1,250,3,2.5625,2914,e53d31aec571e303d6ea1ff054d060bfa51c270b40b2c4187bb2de35efb86dd6,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,934795,934801,score_q1,250,1,2.625,779,a346d7a3e05695f5a0260bd5344e04f1d267f20baf04892374c2abe19dfde0ac,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,934795,934803,score_q3,250,1,3.03125,928,a85ebda0e4581d8bc0ab87e21c8ebdec8ce15f884f3a72946b789794ce769d7e,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,934795,934811,score_q2,250,1,2.734375,983,39d6547f561a93e250690ffed38a45cc9516f89ffe761fa4e3760de6d9ad56ed,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,934795,934817,score_q3,250,2,3.109375,2016,394a283e5667a6fd91aa0540ac07d631c8eff05a408b9e5465f5f3ebb55b0ac3,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,1031910,1031913,score_q4,250,5,3.6875,13019,2132eff178ab09199629cb14726cac9c5b6c73f3b9f48c7d59dcc52c87cd1b79,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,1031910,1031919,score_q3,250,2,3.1875,2363,3c28ed5fa7fa9c1dfbd5f9506d4d12c5152923eb0d0b6308c041cc007cb79222,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,1031910,1031928,score_q3,250,3,3.09375,3808,cc8b3168032601b8ee7a81f814cce9a91395b3cf5ade8d5fd7c864605e36ecc6,,,
fineweb_edu,HuggingFaceFW/fineweb-edu,sample-10BT,train,87f09149ef4734204d70ed1d046ddc9ca3f2b8f9,1031910,1031942,score_q1,250,5,2.671875,10815,8bc9a09e4ecd30defd38bfa1c8e7bbd4a807c6bbae5304c430fc8e1db00873c2,,,
